Id,Needs_NSC_Review__c,NSC_Review_Reason__c,Index (for debugging)
003f400000KvxNfAAJ,True,<Changed>New unreported left college: University of California-San Diego (Jan 2017 start),3597
003f400000TlTPLAA3,True,<Changed>New unreported left college: Foothill College (Sep 2018 start),2698
003f400000KvxS9AAJ,True,<Changed>New unreported graduation (was Attending): University of California-Davis (Dec 2019),3214
003f400000KvxS9AAJ,True,<Added>NSC indicates previously unreported enrollment (Withdrew):  (Jun 2016 start),3213
003f400000KvxTiAAJ,True,<Changed>New unreported left college: De Anza College (Sep 2018 start),2194
003f400001Xsri8AAB,True,<Not changed>NSC indicates still attending (currently Withdrew): Canada College (Aug 2020 start currently 09/10/2020 end),3869
003f400000KvxeLAAR,True,<Changed>New unreported left college: California Polytechnic State University-San Luis Obispo (Sep 2017 start),4180
003f400000KvxcxAAB,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start),3164
003f400000KvxcxAAB,True,<Added>NSC indicates previously unreported enrollment (Withdrew):  (Sep 2017 start),3163
003f400000KvxfsAAB,True,<Added>NSC indicates previously unreported enrollment (Transferred out):  (Sep 2017 start),3583
003f400000KvxcXAAR,True,<Changed>New unreported left college: Canada College (Aug 2017 start),3744
003f400000KvxTLAAZ,True,<Changed>New unreported left college: Brookhaven College (Jan 2019 start),231
003f400000KvxYsAAJ,True,<Changed>New unreported left college: Canada College (Jun 2018 start),4059
003f400000TlTRhAAN,True,<Changed>New unreported left college: Humboldt State University (Aug 2018 start),1727
003f400000TlTPgAAN,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start),3198
003f400000TlTR2AAN,True,<Changed>New unreported left college: San Francisco State University (Aug 2018 start),3687
003f400000KvxRGAAZ,True,<Added>NSC indicates previously unreported enrollment (Withdrew):  (Jan 2019 start),3177
003f400000KvxVbAAJ,True,<Added>NSC indicates previously unreported enrollment (Withdrew):  (Sep 2018 start),2302
003f400000KvxR5AAJ,True,<Added>NSC indicates previously unreported enrollment (Transferred out):  (Aug 2016 start),1433
003f400000KvxR7AAJ,True,<Added>NSC indicates previously unreported enrollment (Transferred out):  (Jun 2016 start),3864
003f400000KvxcyAAB,True,<Added>NSC indicates previously unreported enrollment (Withdrew):  (Jan 2018 start),2405
003f400000TlTL1AAN,True,<Changed>New unreported left college: West Valley College (May 2018 start),3572
003f400000TlTL1AAN,True,<Changed>New unreported left college: San Jose City College (Sep 2018 start),3571
003f400000KvxSsAAJ,True,<Changed>New unreported left college: San Francisco State University (Aug 2016 start),429
003f400000KvxO8AAJ,True,<Changed>New unreported left college: Foothill College (Jun 2016 start),3517
003f400000TlTL2AAN,True,<Changed>New unreported left college: Foothill College (Sep 2018 start),1136
003f400000KvxYBAAZ,True,<Not changed>NSC indicates still attending (currently Withdrew): De Anza College (Jun 2020 start currently 09/23/2020 end),3642
003f400000KvxXPAAZ,True,<Changed>New unreported left college: Foothill College (Jul 2018 start),306
003f400000KvxOVAAZ,True,<Changed>New unreported left college: Foothill College (Jan 2019 start),872
003f400000KvxVBAAZ,True,<Changed>New unreported left college: San Jose City College (Sep 2018 start),755
003f400000KvxVBAAZ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jan 2019 start),757
003f400000KvxVBAAZ,True,<Added>NSC indicates previously unreported enrollment (Transferred out):  (Sep 2017 start),756
003f400000KvxOBAAZ,True,<Changed>New unreported left college: Utah Valley University (Aug 2017 start),1390
003f400000KvxV8AAJ,True,<Added>NSC indicates previously unreported enrollment (Graduated):  (Sep 2019 start),2850
003f400000KvxV8AAJ,True,<Added>NSC indicates previously unreported enrollment (Transferred out):  (Aug 2016 start),2849
003f400000TlTPjAAN,True,<Changed>New unreported left college: Sacramento City College (Jan 2019 start),2459
003f400000KvxdrAAB,True,<Added>NSC indicates previously unreported enrollment (Withdrew):  (Jan 2018 start),3706
